RSSI,Name,Timestamp
-50,egopi1,1489692106668
-88,egopi3,1489692106753
-50,egopi1,1489692106790
-72,egopi2,1489692106824
-86,egopi3,1489692106873
-49,egopi1,1489692106917
-72,egopi2,1489692106949
-85,egopi3,1489692107003
-49,egopi1,1489692107045
-83,egopi3,1489692107131
-49,egopi1,1489692107173
-77,egopi2,1489692107200
-80,Surge,1489692107216
-86,egopi3,1489692107260
-49,egopi1,1489692107301
-77,egopi2,1489692107326
-85,egopi3,1489692107386
-48,egopi1,1489692107426
-70,egopi2,1489692107454
-89,egopi3,1489692107516
-95,null,1489692107536
-45,egopi1,1489692107552
-72,egopi2,1489692107583
-83,egopi3,1489692107643
-49,egopi1,1489692107678
-78,egopi2,1489692107708
-51,egopi1,1489692107803
-77,egopi2,1489692107833
-85,egopi3,1489692107901
-62,egopi1,1489692107932
-79,egopi2,1489692107963
-84,egopi3,1489692108031
-53,egopi1,1489692108058
-82,egopi2,1489692108089
-99,null,1489692108157
-78,egopi3,1489692108174
-47,egopi1,1489692108190
-75,egopi2,1489692108217
-77,egopi3,1489692108289
-94,null,1489692108313
-53,egopi1,1489692108317
-72,egopi2,1489692108342
-79,egopi3,1489692108413
-76,Surge,1489692108426
-49,egopi1,1489692108444
-70,egopi2,1489692108471
-83,egopi3,1489692108540
-48,egopi1,1489692108568
-72,egopi2,1489692108597
-92,null,1489692108622
-86,egopi3,1489692108667
-73,egopi2,1489692108726
-93,egopi3,1489692108796
-47,egopi1,1489692108822
-84,egopi2,1489692108853
-97,null,1489692108889
-83,egopi3,1489692108921
-45,egopi1,1489692108947
-74,egopi2,1489692108979
-79,egopi3,1489692109046
-40,egopi1,1489692109072
-74,egopi2,1489692109105
-81,egopi3,1489692109176
-44,egopi1,1489692109201
-94,null,1489692109218
-81,egopi2,1489692109233
-84,egopi3,1489692109302
-40,egopi1,1489692109329
-69,egopi2,1489692109355
-82,egopi3,1489692109427
-43,egopi1,1489692109453
-77,egopi2,1489692109485
-42,egopi1,1489692109595
-75,Surge,1489692109639
-92,egopi3,1489692109681
-42,egopi1,1489692109710
-78,egopi2,1489692109739
-43,egopi1,1489692109842
-69,egopi2,1489692109884
-82,egopi3,1489692109938
-44,egopi1,1489692109961
-76,egopi2,1489692109994
-85,egopi3,1489692110069
-47,egopi1,1489692110106
-69,egopi2,1489692110139
-79,egopi3,1489692110189
-52,egopi1,1489692110212
-70,egopi2,1489692110241
-85,egopi3,1489692110317
-64,egopi1,1489692110343
-80,egopi2,1489692110377
-78,egopi3,1489692110450
-53,egopi1,1489692110468
-72,egopi2,1489692110499
-89,egopi3,1489692110566
-94,null,1489692110579
-44,egopi1,1489692110597
-68,egopi2,1489692110624
-85,egopi3,1489692110701
-45,egopi1,1489692110733
-76,egopi2,1489692110753
-85,egopi3,1489692110833
-82,Surge,1489692110842
-44,egopi1,1489692110858
-70,egopi2,1489692110889
-44,egopi1,1489692110978
-69,egopi2,1489692111003
-44,egopi1,1489692111108
-80,egopi3,1489692111203
-44,egopi1,1489692111221
-69,egopi2,1489692111256
-80,egopi3,1489692111329
-44,egopi1,1489692111351
-68,egopi2,1489692111380
-79,egopi3,1489692111453
-89,null,1489692111465
-40,egopi1,1489692111482
-68,egopi2,1489692111506
-81,egopi3,1489692111581
-43,egopi1,1489692111602
-69,egopi2,1489692111637
-82,null,1489692111641
-86,egopi3,1489692111706
-43,egopi1,1489692111727
-73,egopi2,1489692111761
-89,egopi3,1489692111832
-43,egopi1,1489692111853
-73,egopi2,1489692111888
-89,egopi3,1489692111959
-55,egopi1,1489692111978
-73,egopi2,1489692112012
-78,Surge,1489692112040
-79,egopi3,1489692112087
-42,egopi1,1489692112104
-75,egopi2,1489692112140
-94,null,1489692112173
-88,null,1489692112191
-44,egopi1,1489692112229
-75,egopi2,1489692112268
-83,egopi3,1489692112337
-93,null,1489692112370
-74,egopi2,1489692112394
-46,egopi1,1489692112482
-73,egopi2,1489692112518
-94,null,1489692112542
-47,egopi1,1489692112610
-70,egopi2,1489692112645
-87,egopi3,1489692112715
-43,egopi1,1489692112737
-77,egopi2,1489692112770
-79,egopi3,1489692112845
-52,egopi1,1489692112863
-76,egopi2,1489692112897
-81,egopi3,1489692112971
-49,egopi1,1489692112987
-74,egopi2,1489692113021
-87,egopi3,1489692113098
-51,egopi1,1489692113116
-74,egopi2,1489692113146
-77,egopi3,1489692113222
-51,egopi1,1489692113243
-77,Surge,1489692113246
-76,egopi2,1489692113279
-81,egopi3,1489692113351
-50,egopi1,1489692113370
-70,egopi2,1489692113403
-78,egopi3,1489692113479
-47,egopi1,1489692113501
-71,egopi2,1489692113530
-73,egopi3,1489692113604
-43,egopi1,1489692113619
-74,egopi2,1489692113653
-87,egopi3,1489692113729
-45,egopi1,1489692113753
-72,egopi2,1489692113780
-88,egopi3,1489692113856
-47,egopi1,1489692113874
-73,egopi2,1489692113907
-83,egopi3,1489692113986
-46,egopi1,1489692114005
-75,egopi2,1489692114032
-79,egopi3,1489692114117
-46,egopi1,1489692114143
-75,egopi2,1489692114162
-92,egopi3,1489692114233
-47,egopi1,1489692114266
-65,egopi2,1489692114300
-72,egopi3,1489692114362
-97,null,1489692114389
-43,egopi1,1489692114393
-65,egopi2,1489692114414
-89,Surge,1489692114448
-73,egopi3,1489692114489
-56,egopi1,1489692114512
-74,egopi2,1489692114545
-80,egopi3,1489692114622
-56,egopi1,1489692114668
-71,egopi2,1489692114693
-78,egopi3,1489692114737
-69,egopi1,1489692114758
-76,egopi2,1489692114791
-82,egopi3,1489692114862
-81,egopi1,1489692114881
-69,egopi3,1489692114993
-54,egopi1,1489692115019
-73,egopi2,1489692115049
-70,egopi3,1489692115119
-60,egopi1,1489692115143
-68,egopi2,1489692115176
-82,egopi3,1489692115251
-62,egopi1,1489692115284
-68,egopi2,1489692115307
-85,egopi3,1489692115371
-60,egopi1,1489692115390
-76,egopi3,1489692115498
-52,egopi1,1489692115520
-85,egopi2,1489692115554
-71,egopi3,1489692115623
-85,egopi2,1489692115676
-72,egopi3,1489692115748
-66,egopi1,1489692115783
-74,egopi2,1489692115809
-72,egopi3,1489692115874
-56,egopi1,1489692115900
-77,egopi2,1489692115927
-76,egopi3,1489692116000
-53,egopi1,1489692116031
-69,egopi2,1489692116057
-77,egopi3,1489692116127
-67,egopi1,1489692116160
-82,egopi2,1489692116181
-90,egopi3,1489692116252
-70,egopi1,1489692116287
-81,egopi2,1489692116309
-91,egopi3,1489692116377
-61,egopi1,1489692116412
-73,egopi2,1489692116431
-82,egopi3,1489692116504
-66,egopi1,1489692116544
-76,egopi2,1489692116564
-77,egopi3,1489692116633
-65,egopi1,1489692116665
-72,egopi2,1489692116687
-76,egopi3,1489692116760
-81,egopi1,1489692116794
-68,egopi2,1489692116815
-77,Surge,1489692116852
-76,egopi3,1489692116886
-57,egopi1,1489692116924
-79,egopi3,1489692117012
-63,egopi1,1489692117053
-69,egopi2,1489692117070
-76,egopi3,1489692117137
-71,egopi1,1489692117182
-70,egopi2,1489692117201
-80,egopi3,1489692117266
-57,egopi1,1489692117307
-67,egopi2,1489692117334
-82,egopi3,1489692117391
-57,egopi1,1489692117432
-74,egopi2,1489692117453
-81,egopi3,1489692117516
-57,egopi1,1489692117557
-75,egopi2,1489692117581
-85,egopi3,1489692117641
-55,egopi1,1489692117682
-79,egopi2,1489692117708
-71,egopi3,1489692117769
-58,egopi1,1489692117811
-74,egopi2,1489692117835
-70,egopi3,1489692117896
-61,egopi1,1489692117938
-79,egopi2,1489692117962
-67,egopi3,1489692118025
-79,Surge,1489692118059
-57,egopi1,1489692118072
-81,egopi2,1489692118093
-55,egopi1,1489692118192
-71,egopi2,1489692118216
-77,egopi3,1489692118278
-66,egopi1,1489692118319
-82,egopi3,1489692118405
-58,egopi1,1489692118445
-81,egopi2,1489692118472
-63,egopi1,1489692118574
