PosX,PosY,RSSI,Name,Timestamp
7.684553,5.192935,-76,egopi1,1488829407870
7.684553,5.192935,-66,egopi3,1488829407887
7.684553,5.192935,-66,egopi3,1488829408007
7.684553,5.192935,-74,egopi1,1488829408120
7.684553,5.192935,-62,egopi3,1488829408135
7.684553,5.192935,-98,egopi2,1488829408241
7.684553,5.192935,-75,egopi1,1488829408250
7.684553,5.192935,-62,egopi3,1488829408266
7.684553,5.192935,-76,egopi1,1488829408373
7.684553,5.192935,-61,egopi3,1488829408383
7.684553,5.192935,-84,egopi1,1488829408501
7.684553,5.192935,-58,egopi3,1488829408518
7.684553,5.192935,-74,egopi1,1488829408628
7.684553,5.192935,-56,egopi3,1488829408636
7.684553,5.192935,-75,egopi1,1488829408753
7.684553,5.192935,-58,egopi3,1488829408770
7.684553,5.192935,-76,egopi1,1488829408881
7.684553,5.192935,-57,egopi3,1488829408890
7.684553,5.192935,-90,egopi2,1488829409001
7.684553,5.192935,-76,egopi1,1488829409009
7.684553,5.192935,-66,egopi3,1488829409024
7.684553,5.192935,-57,egopi3,1488829409144
7.684553,5.192935,-95,egopi2,1488829409388
7.684553,5.192935,-68,egopi1,1488829409408
7.684553,5.192935,-57,egopi3,1488829409413
7.684553,5.192935,-76,egopi1,1488829409529
7.684553,5.192935,-54,egopi3,1488829409532
7.684553,5.192935,-92,egopi2,1488829409643
7.684553,5.192935,-77,egopi1,1488829409662
7.684553,5.192935,-55,egopi3,1488829409666
7.684553,5.192935,-82,egopi1,1488829409778
7.684553,5.192935,-59,egopi3,1488829409794
7.684553,5.192935,-88,egopi2,1488829409896
7.684553,5.192935,-76,egopi1,1488829409911
7.684553,5.192935,-54,egopi3,1488829409930
7.684553,5.192935,-92,egopi2,1488829410026
7.684553,5.192935,-75,egopi1,1488829410047
7.684553,5.192935,-51,egopi3,1488829410052
7.684553,5.192935,-73,egopi1,1488829410158
7.684553,5.192935,-50,egopi3,1488829410175
7.684553,5.192935,-69,egopi1,1488829410286
7.684553,5.192935,-50,egopi3,1488829410299
7.684553,5.192935,-85,egopi2,1488829410406
7.684553,5.192935,-67,egopi1,1488829410416
7.684553,5.192935,-47,egopi3,1488829410440
7.684553,5.192935,-67,egopi1,1488829410541
7.684553,5.192935,-66,egopi1,1488829410665
7.684553,5.192935,-43,egopi3,1488829410682
7.684553,5.192935,-67,egopi1,1488829410794
7.684553,5.192935,-46,egopi3,1488829410801
7.684553,5.192935,-81,egopi1,1488829410919
7.684553,5.192935,-46,egopi3,1488829410934
7.684553,5.192935,-77,egopi1,1488829411046
7.684553,5.192935,-51,egopi3,1488829411058
7.684553,5.192935,-83,egopi2,1488829411167
