X,Y,Z,Timestamp
0.218930,-0.068163,0.078077,1489664526686
0.263792,0.289644,-0.049522,1489664526882
0.656179,0.513381,-0.120241,1489664527080
0.424877,0.625263,0.119804,1489664527278
-0.233498,0.259916,0.855073,1489664527475
-0.189872,-0.256073,0.178045,1489664527674
0.409941,0.790840,-0.926123,1489664527998
0.000000,0.000000,0.000000,1489664528724
-0.091267,-0.023413,-1.307940,1489664528921
0.356367,0.351503,-0.727875,1489664529119
0.329324,-0.373291,0.758331,1489664529317
0.029559,-0.264932,-0.402879,1489664529514
0.243798,0.858328,-0.667033,1489664529717
-0.115785,-0.102466,1.092163,1489664529912
-0.221990,-0.605873,-0.305908,1489664530109
0.572967,-0.224315,-0.506722,1489664530307
0.387608,-0.344080,0.020475,1489664530504
0.145184,-0.801443,-0.331536,1489664530706
0.207759,-0.693844,-0.005234,1489664530901
0.291014,-0.230601,-0.017318,1489664531099
