X,Y,Z,Timestamp
0.069083,0.557832,-1.488059,1489665353182
0.221394,0.644026,-1.748937,1489665353182
0.272659,0.756512,-1.877498,1489665353183
0.366175,0.895030,-1.739710,1489665353207
0.034127,0.770640,-1.505801,1489665353207
-0.259178,0.717200,-1.540147,1489665353207
-0.450880,0.684482,-1.674512,1489665353207
-0.547808,0.831191,-1.655514,1489665353207
-0.368098,1.047137,-1.572331,1489665353212
-0.408921,1.022718,-1.288176,1489665353216
-0.307371,1.142675,-0.905996,1489665353220
-0.150088,1.203062,-0.478290,1489665353224
-0.117432,1.263238,-0.173698,1489665353230
-0.028245,1.349969,0.030058,1489665353234
-0.014436,1.360843,0.066823,1489665353240
0.057815,1.392452,0.056683,1489665353244
0.323348,1.501773,0.143419,1489665353249
0.207832,1.426136,0.350868,1489665353254
0.281127,1.484280,0.366195,1489665353260
0.422385,1.546167,0.213300,1489665353264
0.569312,1.544438,0.133543,1489665353269
0.730011,1.452369,0.191684,1489665353274
0.698810,1.432848,0.316851,1489665353279
0.632997,1.389830,0.372627,1489665353284
-0.207508,0.745450,0.490005,1489665353289
0.489867,1.291351,0.184496,1489665353294
1.754382,1.757561,0.594291,1489665353299
0.949221,0.841426,-0.252111,1489665353304
-0.273286,0.125350,-0.194771,1489665353308
0.289139,0.932600,-0.160042,1489665353314
0.539036,1.010899,-0.098906,1489665353319
0.106440,0.742368,-0.123758,1489665353323
-0.994036,0.182777,0.197478,1489665353328
0.459236,1.071626,-0.233392,1489665353333
1.001314,1.216411,0.160262,1489665353338
-0.066471,0.453314,-0.122319,1489665353343
-0.559765,0.419080,0.003927,1489665353348
-0.246528,0.739574,0.269414,1489665353353
-0.533376,0.604701,0.416358,1489665353358
-0.830955,0.400533,0.665383,1489665353362
-0.781362,0.502282,0.711056,1489665353368
-1.272892,0.348738,0.774289,1489665353373
-1.018447,0.562232,0.535159,1489665353378
0.013424,1.259272,0.487985,1489665353382
-0.415516,1.017310,0.097446,1489665353388
-0.818462,0.763145,0.037235,1489665353392
-0.672596,1.114972,0.011878,1489665353398
-0.743600,1.232578,-0.255141,1489665353402
-0.730963,1.289259,-0.530999,1489665353407
-0.632916,1.271173,-0.471152,1489665353412
-0.598175,1.354312,-0.500437,1489665353417
-0.616531,1.475690,-0.722175,1489665353422
-0.543104,1.485350,-0.702410,1489665353427
-0.434011,1.511504,-0.746459,1489665353432
-0.413147,1.530580,-0.798524,1489665353437
-0.405834,1.568396,-0.824890,1489665353442
-0.420902,1.550746,-0.762451,1489665353447
-0.321821,1.550739,-0.616806,1489665353452
-0.303593,1.504915,-0.505697,1489665353457
-0.300079,1.470524,-0.328695,1489665353461
-0.735192,1.260639,-0.125198,1489665353467
0.039893,1.658273,-0.232664,1489665353472
0.339798,1.827059,-0.155729,1489665353476
-0.287534,1.263629,-0.090995,1489665353482
-0.062953,1.330870,-0.038771,1489665353486
0.048375,1.370909,0.117719,1489665353491
-0.011272,1.261034,0.242658,1489665353497
0.084368,1.213550,0.163824,1489665353501
0.053175,1.205551,0.128915,1489665353506
0.014081,1.193903,0.037706,1489665353511
0.030405,1.193523,0.011821,1489665353516
0.013688,1.119458,-0.026280,1489665353520
-0.010189,1.156218,-0.006760,1489665353526
-0.026420,1.234991,-0.048786,1489665353531
-0.029005,1.291349,-0.192754,1489665353538
-0.046340,1.342724,-0.389704,1489665353541
0.037761,1.426547,-0.499163,1489665353546
0.077757,1.367002,-0.664468,1489665353551
0.128634,1.418049,-0.807223,1489665353556
0.219500,1.471742,-0.694625,1489665353561
0.135258,1.514969,-0.735109,1489665353566
0.118115,1.470077,-0.776590,1489665353570
0.111051,1.377802,-0.775128,1489665353575
0.087843,1.287985,-0.720437,1489665353580
0.129260,1.264480,-0.499694,1489665353586
0.131281,1.270214,-0.388211,1489665353590
0.197329,1.250065,-0.366369,1489665353595
0.148736,1.264959,-0.318780,1489665353601
0.137025,1.207215,-0.363707,1489665353605
0.192847,1.227238,-0.336858,1489665353610
0.246226,1.228692,-0.434140,1489665353615
0.251741,1.300625,-0.441082,1489665353619
0.279309,1.267617,-0.471129,1489665353624
0.288245,1.261362,-0.371218,1489665353631
0.281603,1.220739,-0.178365,1489665353634
0.226009,1.139978,-0.102969,1489665353639
0.186341,1.136697,-0.054518,1489665353645
0.033336,1.161753,-0.062272,1489665353649
-0.070561,1.146860,-0.181721,1489665353654
-0.111780,1.112023,-0.247761,1489665353659
-0.160914,1.014948,-0.248891,1489665353664
-0.145728,0.928256,-0.094552,1489665353669
-0.160319,0.951617,0.072108,1489665353674
-0.232375,0.874638,0.152391,1489665353680
-0.283574,0.834901,0.282645,1489665353684
-0.361231,0.799891,0.335514,1489665353690
-0.336625,0.767869,0.535384,1489665353693
-0.308883,0.761533,0.707996,1489665353698
-0.317157,0.855083,0.905896,1489665353704
-0.470557,1.130141,0.942785,1489665353709
-0.599921,1.411694,0.785708,1489665353713
-0.844606,1.284626,0.579808,1489665353718
-1.186021,0.879493,0.184166,1489665353723
-1.190173,0.730898,0.030245,1489665353728
-1.164464,0.731257,0.377273,1489665353734
-1.129958,0.716839,0.617245,1489665353738
-1.283375,0.695344,0.643201,1489665353743
-1.370288,0.592355,0.468733,1489665353748
-1.355734,0.506257,0.317917,1489665353753
-1.098154,0.433524,0.213352,1489665353758
-0.856858,0.292528,0.163673,1489665353763
-0.610957,0.120998,0.275493,1489665353768
-0.468807,-0.119969,0.553574,1489665353772
-0.559743,-0.577533,1.091190,1489665353778
-0.486083,-0.665302,1.559308,1489665353783
-0.088925,-0.640807,1.654849,1489665353788
0.104458,-0.771716,1.764051,1489665353793
0.298364,-0.877581,2.064988,1489665353797
0.543903,-0.873189,2.358998,1489665353802
0.787731,-0.990180,2.681608,1489665353808
1.029998,-1.275902,2.872358,1489665353812
1.316026,-1.431772,3.182115,1489665353817
1.597314,-1.633057,3.542161,1489665353823
1.652852,-2.002726,4.007505,1489665353827
1.876834,-2.295843,4.393566,1489665353833
1.889680,-2.501600,4.611700,1489665353838
1.923624,-2.773190,5.110796,1489665353842
1.792880,-2.694278,5.288832,1489665353847
1.515641,-2.519367,5.079811,1489665353853
1.196650,-2.249801,4.557574,1489665353857
0.832739,-1.970094,3.761168,1489665353862
0.443624,-1.628519,2.648870,1489665353868
0.184406,-1.133036,1.511657,1489665353873
-0.083320,-0.779763,0.429598,1489665353877
-0.509797,-0.698512,-0.338696,1489665353882
-0.995135,-0.397000,-0.907066,1489665353886
-1.576086,-0.280625,-1.398920,1489665353896
-2.004653,-0.349267,-1.487843,1489665353898
-2.082259,-0.340634,-1.388608,1489665353901
-1.999950,-0.447560,-0.884030,1489665353906
-1.829188,-0.643128,-0.390220,1489665353911
-1.790992,-0.904260,0.251168,1489665353916
-1.873150,-1.206554,0.799924,1489665353921
-1.903096,-1.426444,1.144177,1489665353926
-1.952190,-1.576339,1.257148,1489665353930
-1.854458,-1.568793,1.061323,1489665353936
-1.648742,-1.558125,0.868604,1489665353941
-1.372821,-1.458705,0.585826,1489665353946
-1.065830,-1.236397,0.472549,1489665353954
-0.757431,-1.104945,0.528832,1489665353955
-0.553460,-0.957627,0.468621,1489665353960
-0.319225,-0.905327,0.535927,1489665353966
-0.114364,-0.717714,0.492549,1489665353970
0.157369,-0.490137,0.367985,1489665353975
0.257291,-0.427079,0.376066,1489665353980
0.369140,-0.294081,0.253813,1489665353985
0.466392,-0.189107,0.183227,1489665353990
0.552857,-0.054290,-0.024507,1489665353995
0.640237,0.090632,-0.240411,1489665354000
0.717511,0.154583,-0.520668,1489665354005
0.689130,0.200814,-0.716091,1489665354010
0.651739,0.287604,-0.892400,1489665354014
0.524447,0.281277,-0.943090,1489665354020
0.445410,0.271238,-0.990687,1489665354025
0.300129,0.205753,-1.026425,1489665354030
0.247444,0.153673,-1.128827,1489665354034
0.182841,0.157718,-1.217249,1489665354039
0.098461,0.113102,-1.338376,1489665354044
0.055547,0.123799,-1.606237,1489665354049
0.087668,0.213158,-1.860695,1489665354054
0.134960,0.295555,-2.034426,1489665354059
0.134710,0.293711,-2.177700,1489665354064
0.133909,0.336729,-2.117080,1489665354069
0.116919,0.383095,-2.287537,1489665354074
0.123453,0.442927,-2.352125,1489665354079
0.074541,0.419110,-2.521686,1489665354084
-0.052712,0.470920,-2.618916,1489665354089
-0.173708,0.418829,-2.739685,1489665354093
-0.390265,0.378026,-2.824091,1489665354098
-0.565056,0.318299,-2.768907,1489665354103
-0.703570,0.249771,-2.832176,1489665354108
-0.732619,0.193429,-2.738178,1489665354113
-0.782956,0.165672,-2.735369,1489665354119
-0.724093,0.113718,-2.607364,1489665354123
-0.745226,0.117756,-2.506942,1489665354128
-0.732683,0.006237,-2.112097,1489665354133
-0.743478,-0.161633,-1.875364,1489665354138
