X,Y,Z,Timestamp
0.433224,0.096754,-0.003248,1489663079271
0.490091,0.652811,-0.077152,1489663079460
0.503771,0.566641,0.072951,1489663079659
0.291677,0.420552,-0.028423,1489663079856
0.144455,0.330954,0.019135,1489663080082
0.142761,0.189855,0.026596,1489663080301
0.035658,0.175077,0.063341,1489663080707
0.047398,0.081505,-0.024807,1489663080904
0.038142,-0.008241,0.026894,1489663081103
0.007909,0.055374,0.024274,1489663081300
-0.014776,0.005558,0.006371,1489663081498
-0.030205,0.027268,0.011385,1489663081696
0.037801,-0.009355,0.018608,1489663081893
-0.050845,0.040593,-0.014303,1489663082091
-0.039287,0.056244,-0.020671,1489663082290
0.003473,-0.068516,0.079902,1489663082487
-0.020147,-0.034534,-0.003333,1489663082695
0.001149,-0.006891,-0.002970,1489663082886
0.047930,-0.068173,-0.147086,1489663083085
-0.094190,-0.180958,0.112063,1489663083280
0.078373,-0.133846,0.047541,1489663083479
0.042168,-0.098410,-0.049868,1489663083676
-0.054891,-0.059214,0.016699,1489663083875
0.149984,-0.055706,0.087643,1489663084075
-0.414274,0.257642,-0.087227,1489663084272
-0.594214,0.286428,-0.024981,1489663084468
-0.227774,0.175887,-0.042060,1489663084666
-0.122327,-0.079555,0.037076,1489663084864
-0.225853,0.021664,0.092668,1489663085060
-0.075180,0.211188,0.004557,1489663085259
-0.207371,0.201438,0.080342,1489663085457
-0.512617,0.076840,-0.101946,1489663085654
-0.561030,0.440947,0.008663,1489663085855
-1.629950,3.782245,-0.165826,1489663086047
-0.529633,-0.000410,-0.151212,1489663086245
-0.448597,-0.034839,0.030357,1489663086443
0.067313,-0.711536,0.230075,1489663086641
0.213598,-1.114248,0.131735,1489663086838
-0.102992,-0.438407,-0.526325,1489663087037
-0.376992,-0.365007,-0.000112,1489663087234
-0.433283,-0.218108,-0.085103,1489663087432
-0.574943,-0.242394,-0.001517,1489663087630
-0.597399,-0.205862,-0.057497,1489663087828
-0.196935,-0.313568,-0.159522,1489663088025
0.035916,-0.898615,0.421783,1489663088223
1.876529,-1.475060,0.893140,1489663088421
1.577967,-0.908383,1.300259,1489663088619
2.125063,-5.068731,0.825484,1489663088817
-1.273734,-2.936550,-2.877069,1489663089014
-0.577320,-2.902532,-1.083506,1489663089212
-0.124201,-1.872915,-0.717872,1489663089416
-0.136443,-1.432462,0.384870,1489663089612
1.220387,-1.091901,0.045513,1489663089809
1.004803,-2.341164,1.712586,1489663090007
-0.608127,-2.418881,-0.697805,1489663090205
0.613645,-1.047783,-0.632307,1489663090404
0.225551,-2.994855,1.228345,1489663090603
0.398271,-0.679870,-2.255628,1489663090799
0.821796,-1.314062,0.974139,1489663090996
0.766858,-1.741632,0.778795,1489663091194
0.187065,-0.189276,-1.584128,1489663091390
0.401894,-1.231526,1.435862,1489663091589
0.205529,-1.695388,-0.004244,1489663091786
0.607364,-0.705741,-1.263161,1489663091986
0.977641,-1.318631,1.530088,1489663092180
0.901279,-1.826287,-0.250511,1489663092379
0.110612,-0.961570,-0.134213,1489663092576
0.084241,-0.196339,-0.058594,1489663092774
