X,Y,Z,Timestamp
0.399697,1.449811,0.209853,1489665058489
0.560785,1.429561,-0.093371,1489665058666
0.456839,0.936113,-0.031229,1489665058844
0.168919,0.969853,-0.150352,1489665059026
-0.250994,1.477166,0.080431,1489665059219
-0.646141,1.439476,-0.034946,1489665059575
-0.945553,0.224814,1.464509,1489665059753
-0.867301,-1.121187,0.275939,1489665059931
-1.522389,-0.183533,-1.449194,1489665060109
-1.005960,0.292979,1.450916,1489665060287
0.499618,-0.314482,0.263093,1489665060464
-0.237194,0.511966,-1.462060,1489665060642
0.187253,-0.214086,1.909666,1489665060820
-0.078591,-0.440308,-0.885391,1489665061003
-0.325127,-0.065382,-0.542835,1489665061196
1.893880,-1.443768,1.635736,1489665061552
1.044906,-1.157685,-0.292056,1489665061730
0.350870,-0.928079,-0.222335,1489665061907
0.017905,-0.545523,0.043819,1489665062085
-0.831659,-0.822469,0.203570,1489665062266
-0.616834,-0.469047,0.087056,1489665062448
-0.581954,0.168646,0.186036,1489665062625
-1.069620,0.057658,-0.392753,1489665062797
-0.977203,0.766885,-0.277419,1489665062982
-1.543081,-0.289710,0.525331,1489665063174
-0.793099,-1.692689,1.540353,1489665063534
-0.939227,-1.167028,-1.665677,1489665063710
-1.453224,-0.653549,-0.069830,1489665063886
0.153633,-1.629730,1.365679,1489665064064
-0.920453,-0.989000,-1.775264,1489665064246
-0.966445,-1.523326,0.675002,1489665064424
0.168453,-2.239828,0.707997,1489665064600
-0.675250,-1.253790,-2.037127,1489665064777
1.246435,-2.637481,1.721955,1489665064960
1.221241,-1.713007,-0.226342,1489665065151
0.605687,-1.222638,-0.153897,1489665065508
-0.650434,-1.270020,-0.624925,1489665065689
-0.694447,-1.615144,-0.010012,1489665065865
-0.879024,-1.532098,-0.122686,1489665066041
-1.176020,-2.064899,0.164102,1489665066219
-1.511197,-1.363898,-0.362734,1489665066398
-0.409035,-0.921394,1.715389,1489665066574
0.105632,0.483025,-0.682408,1489665066753
-0.352825,-0.092930,-0.620995,1489665066939
0.454016,0.074402,1.559080,1489665067128
0.566048,0.224545,-1.209218,1489665067482
-0.107156,0.301461,-0.002091,1489665067662
1.447613,1.925342,1.445863,1489665067842
-0.045549,-0.033605,-2.199563,1489665068018
0.316433,0.465960,1.338738,1489665068198
1.715513,0.823016,0.369060,1489665068376
0.520507,-0.287086,-1.500441,1489665068551
0.627113,1.127390,1.391659,1489665068724
0.490151,1.932003,-0.033611,1489665068907
1.014711,1.370154,-0.555043,1489665069099
1.013385,2.984898,0.347356,1489665069455
0.104144,2.529249,-0.601847,1489665069634
0.126281,1.650946,-0.401093,1489665069815
0.607047,0.986678,0.181755,1489665069995
1.950947,0.518981,0.596147,1489665070172
0.192111,1.515771,-0.385281,1489665070349
-1.458388,0.541168,-0.017882,1489665070528
-1.506253,0.072230,-0.222872,1489665070707
-0.689061,-1.266406,-0.419946,1489665070887
0.023134,-0.780925,1.698498,1489665071079
0.478783,0.287200,0.176216,1489665071434
0.388045,-1.367486,-1.488156,1489665071609
1.536662,-0.517689,1.631134,1489665071787
0.624086,-0.570628,-1.729228,1489665071969
1.201062,-1.374249,0.097920,1489665072148
2.664612,0.298021,1.996941,1489665072328
1.249878,-0.817757,-2.293617,1489665072507
1.095080,-1.134310,0.480443,1489665072683
1.187189,0.235373,1.134971,1489665072865
0.715837,-0.371461,-1.583540,1489665073055
0.992220,1.322839,1.492512,1489665073414
1.057538,1.582513,0.202244,1489665073592
0.745181,1.093948,-1.044327,1489665073766
0.774333,0.733095,-0.127909,1489665073944
0.304430,0.836485,0.333146,1489665074125
0.376808,0.610805,0.151278,1489665074311
